Precinct County Code	Precinct County Name	Precinct Election Number	Precinct Election Date	Precinct Election Name	Precinct Unique Precinct Identifier	Precinct Precinct Polling Location	Precinct Total Registered Voters	Precinct Total Registered Republicans	Precinct Total Registered Democrats	Precinct Total Registered All Other Parties	Contest Contest Name	Contest District	Contest Contest Code	Votes Candidate/Retention/Issue Name/WriteInsCast/OverVotes/UnderVotes	Votes Candidate Party	Votes Candidate Florida Voter Registration System ID Number	Votes DOE Assigned Candidate Number or Retention/Issue Number	Votes Vote Total
LEE	Lee	26906	11/08/2022	2022 General Election	305	305	3867	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	2182
LEE	Lee	26906	11/08/2022	2022 General Election	306	306	4076	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1733
LEE	Lee	26906	11/08/2022	2022 General Election	307	307	5170	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1772
LEE	Lee	26906	11/08/2022	2022 General Election	308	308	3468	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1417
LEE	Lee	26906	11/08/2022	2022 General Election	309	309	1858	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	634
LEE	Lee	26906	11/08/2022	2022 General Election	310	310	5873	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	2423
LEE	Lee	26906	11/08/2022	2022 General Election	311	311	8803	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	2866
LEE	Lee	26906	11/08/2022	2022 General Election	312	312	3372	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1499
LEE	Lee	26906	11/08/2022	2022 General Election	313	313	6891	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	3517
LEE	Lee	26906	11/08/2022	2022 General Election	314	314	9122	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	4474
LEE	Lee	26906	11/08/2022	2022 General Election	315	315	4847	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1917
LEE	Lee	26906	11/08/2022	2022 General Election	316	316	7804	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	3361
LEE	Lee	26906	11/08/2022	2022 General Election	317	317	6716	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	3190
LEE	Lee	26906	11/08/2022	2022 General Election	318	318	6491	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	2645
LEE	Lee	26906	11/08/2022	2022 General Election	319	319	3211	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1082
LEE	Lee	26906	11/08/2022	2022 General Election	320	320	7087	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	2328
LEE	Lee	26906	11/08/2022	2022 General Election	321	321	2859	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1205
LEE	Lee	26906	11/08/2022	2022 General Election	401	401	2445	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	970
LEE	Lee	26906	11/08/2022	2022 General Election	402	402	7796	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	2527
LEE	Lee	26906	11/08/2022	2022 General Election	403	403	4725	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1287
LEE	Lee	26906	11/08/2022	2022 General Election	404	404	3709	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1131
LEE	Lee	26906	11/08/2022	2022 General Election	408	408	7592	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1443
LEE	Lee	26906	11/08/2022	2022 General Election	409	409	8734	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	2379
LEE	Lee	26906	11/08/2022	2022 General Election	410	410	4775	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1200
LEE	Lee	26906	11/08/2022	2022 General Election	411	411	5115	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1399
LEE	Lee	26906	11/08/2022	2022 General Election	412	412	7906	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	2589
LEE	Lee	26906	11/08/2022	2022 General Election	413	413	4728	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	2051
LEE	Lee	26906	11/08/2022	2022 General Election	414	414	2162	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	812
LEE	Lee	26906	11/08/2022	2022 General Election	415	415	8372	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1264
LEE	Lee	26906	11/08/2022	2022 General Election	416	416	7207	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1409
LEE	Lee	26906	11/08/2022	2022 General Election	417	417	5614	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	362
LEE	Lee	26906	11/08/2022	2022 General Election	504	504	5837	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	402
LEE	Lee	26906	11/08/2022	2022 General Election	505	505	4651	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	718
LEE	Lee	26906	11/08/2022	2022 General Election	506	506	6540	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	676
LEE	Lee	26906	11/08/2022	2022 General Election	508	508	5596	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	349
LEE	Lee	26906	11/08/2022	2022 General Election	510	510	9686	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	207
LEE	Lee	26906	11/08/2022	2022 General Election	514	514	1805	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	79
LEE	Lee	26906	11/08/2022	2022 General Election	101	101	10250	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	1526
LEE	Lee	26906	11/08/2022	2022 General Election	102	102	3907	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	651
LEE	Lee	26906	11/08/2022	2022 General Election	103	103	5220	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	774
LEE	Lee	26906	11/08/2022	2022 General Election	104	104	5363	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	844
LEE	Lee	26906	11/08/2022	2022 General Election	105	105	3351	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	792
LEE	Lee	26906	11/08/2022	2022 General Election	106	106	4584	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	637
LEE	Lee	26906	11/08/2022	2022 General Election	107	107	8398	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	1344
LEE	Lee	26906	11/08/2022	2022 General Election	108	108	6973	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	1170
LEE	Lee	26906	11/08/2022	2022 General Election	109	109	3514	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	547
LEE	Lee	26906	11/08/2022	2022 General Election	110	110	8787	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	1513
LEE	Lee	26906	11/08/2022	2022 General Election	111	111	5249	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	726
LEE	Lee	26906	11/08/2022	2022 General Election	112	112	6297	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	999
LEE	Lee	26906	11/08/2022	2022 General Election	113	113	4042	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	688
LEE	Lee	26906	11/08/2022	2022 General Election	114	114	4455	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	713
LEE	Lee	26906	11/08/2022	2022 General Election	115	115	4041	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	619
LEE	Lee	26906	11/08/2022	2022 General Election	116	116	2700	0	0	0	Representative in Congress	 District 19	140190	Cindy Banyai	DEM	117627943	79324	680
